Time,ax,ay,az,lax,lay,laz,gx,gy,gz
838375.0,3.929688,-1.359375,-12.285156,-3.898438,1.347656,-6.800781,-0.484375,-0.621094,-0.041016
838399.0,10.09375,-4.269531,-15.34375,2.453125,-1.730469,-9.894531,0.460938,-0.078125,-0.03125
838415.0,13.464844,-0.632812,-16.109375,4.859375,-0.375,-11.265625,1.265625,0.564453,0.140625
838439.0,13.964844,0.59375,-17.414062,6.191406,3.351562,-12.234375,0.316406,1.460938,0.107422
838455.0,13.351562,-2.203125,-19.75,5.683594,1.765625,-13.371094,0.152344,2.46875,0.214844
838478.0,17.757812,-5.457031,-18.375,9.523438,-2.589844,-13.976562,0.345703,3.296875,0.347656
838495.0,24.191406,-5.957031,-10.40625,12.523438,-3.703125,-11.113281,0.179688,3.919922,-0.107422
838512.0,25.109375,-5.535156,-0.714844,15.660156,-3.042969,-6.59375,-0.210938,4.154297,-0.496094
838535.0,14.15625,-8.214844,6.375,9.699219,-2.511719,8.441406,-1.408203,5.09375,-1.197266
838557.0,3.351562,-10.132812,4.878906,-6.125,-7.828125,6.347656,-0.240234,4.376953,-0.871094
838588.0,-1.855469,-2.242188,-4.007812,-11.449219,0.03125,-3.164062,0.330078,1.419922,0.177734
838604.0,1.515625,4.808594,1.46875,-9.757812,3.136719,0.339844,-0.3125,-1.515625,0.576172
838628.0,0.058594,2.695312,-1.824219,-9.464844,5.128906,-0.457031,-1.164062,-1.550781,0.566406
838644.0,-1.589844,-0.402344,-1.59375,-11.195312,3.40625,-0.015625,-1.333984,-1.814453,0.076172
838668.0,1.519531,-0.324219,-0.980469,-7.875,2.082031,1.175781,0.630859,-1.792969,-0.089844
838684.0,0.941406,1.359375,0.089844,-8.226562,2.96875,1.929688,0.974609,-1.384766,-0.083984
838708.0,0.941406,2.667969,1.203125,-8.332031,5.09375,3.78125,0.564453,-0.742188,-0.191406
838724.0,0.328125,2.3125,2.160156,-8.625,5.007812,3.933594,0.107422,-0.015625,-0.34375
838744.0,0.289062,1.628906,1.890625,-9.390625,4.484375,5.152344,0.144531,0.380859,-0.375
838765.0,0.820312,0.59375,-0.140625,-8.503906,3.3125,3.320312,-0.167969,0.703125,-0.345703
838779.0,0.859375,0.324219,0.089844,-8.226562,2.382812,2.886719,-0.322266,0.767578,-0.271484
838794.0,0.863281,-0.976562,0.089844,-8.289062,1.96875,3.007812,-0.128906,0.712891,-0.205078
838818.0,0.136719,-2.773438,0.050781,-9.214844,-0.675781,2.222656,0.236328,0.257812,-0.21875
838834.0,0.328125,-2.585938,0.933594,-9.023438,-0.453125,2.707031,0.701172,-0.271484,-0.214844
838858.0,-3.65625,-2.777344,-7.953125,-12.945312,-0.699219,-5.734375,0.488281,-0.884766,0.085938
838874.0,-4.996094,-0.285156,-15.691406,-14.269531,-1.3125,-8.292969,-0.037109,-3.708984,1.021484
838896.0,44.304688,-7.027344,-2.628906,35.554688,-4.738281,0.925781,-2.925781,-5.298828,1.707031
838928.0,55.640625,-38.59375,8.75,47.308594,-36.382812,13.171875,0.970703,-2.982422,-0.265625
838944.0,55.800781,6.914062,-0.828125,54.996094,-4.394531,1.828125,2.132812,-4.087891,-0.958984
838957.0,15.265625,1.550781,-16.796875,7.476562,4.003906,-11.582031,1.136719,-3.0625,-1.705078
838974.0,-9.59375,9.636719,-19.949219,-4.785156,7.765625,-21.089844,0.306641,-0.884766,-0.691406
838995.0,-19.628906,9.441406,-18.179688,-17.21875,11.957031,-14.429688,-1.685547,0.167969,0.527344
839014.0,56.488281,-12.738281,-17.988281,10.929688,-0.152344,-8.964844,-1.289062,0.289062,1.257812
839035.0,0.75,-1.933594,-20.710938,48.914062,-10.566406,-12.332031,0.607422,0.962891,0.191406
839054.0,17.066406,-2.96875,-20.554688,12.679688,-1.460938,-14.148438,1.548828,2.166016,-0.087891
839077.0,15.421875,-1.933594,-17.417969,7.179688,0.480469,-12.78125,1.300781,3.123047,-0.0625
839117.0,24.648438,-8.023438,1.316406,10.535156,-4.621094,7.035156,-1.550781,4.925781,-1.033203
839134.0,9.410156,-5.496094,4.34375,5.628906,-3.757812,9.707031,0.171875,5.058594,-0.849609
839158.0,-4.921875,-5.304688,-1.9375,-14.507812,-3.445312,-0.398438,-0.816406,4.042969,-0.054688
839174.0,-1.050781,-2.394531,1.929688,-13.375,-0.105469,9.039062,-2.623047,1.015625,0.638672
839197.0,1.628906,-0.441406,1.851562,-8.027344,1.503906,3.085938,-1.513672,-0.800781,0.441406
839238.0,-1.894531,-1.894531,-0.484375,-11.472656,0.105469,1.34375,-0.751953,-1.853516,0.087891
839254.0,0.25,-2.738281,-1.441406,-10.40625,-0.746094,1.273438,1.203125,-2.013672,-0.175781
839277.0,1.054688,0.59375,-1.097656,-8.375,2.648438,1.363281,2.78125,-1.519531,-0.244141
839294.0,-0.363281,3.117188,-0.40625,-9.148438,4.304688,1.472656,2.761719,-1.041016,-0.242188
839324.0,1.054688,3.890625,2.351562,-8.742188,6.882812,5.050781,1.095703,-0.474609,-0.087891
839347.0,0.480469,2.316406,0.894531,-8.824219,4.574219,3.582031,-0.035156,-0.234375,-0.011719
839364.0,0.097656,1.589844,0.550781,-9.191406,4.269531,3.460938,-0.900391,-0.322266,0.130859
839387.0,1.558594,0.746094,0.207031,-7.671875,2.933594,3.058594,-1.292969,-0.251953,0.072266
839404.0,1.78125,-0.09375,-0.0625,-7.398438,2.4375,2.796875,-0.939453,-0.212891,0.076172
839428.0,0.136719,-0.824219,-0.023438,-9.027344,1.261719,2.976562,-0.861328,-0.248047,0.195312
839444.0,-4.078125,-4.039062,-10.097656,-10.722656,0.796875,-4.753906,-0.429688,-1.478516,0.488281
839459.0,-4.769531,-2.203125,-14.199219,-13.347656,4.832031,-23.320312,0.556641,-2.660156,0.603516
839496.0,17.910156,-18.175781,12.769531,9.636719,-16.105469,17.542969,-1.599609,-4.025391,0.6875
839516.0,32.199219,-18.328125,-19.332031,24.152344,-16.070312,-14.292969,0.701172,-2.451172,1.503906
839538.0,41.890625,0.632812,-6.652344,34.148438,3.085938,-1.253906,1.113281,-2.566406,0.611328
839578.0,-3.386719,3.121094,-27.796875,-10.894531,5.363281,-21.96875,-0.298828,0.066406,-0.232422
839593.0,-3.808594,1.398438,-23.539062,-13.109375,4.597656,-17.855469,-0.115234,1.482422,0.126953
839617.0,38.328125,-12.046875,-17.988281,30.53125,-9.78125,-12.535156,0.566406,2.025391,0.582031
839634.0,13.351562,-5.804688,-21.746094,18.796875,-4.171875,-15.46875,1.724609,3.074219,-0.503906
839651.0,31.589844,-1.628906,-16.609375,5.210938,-3.453125,-16.835938,1.863281,2.550781,-0.064453
839674.0,22.8125,5.917969,3.84375,14.195312,8.839844,4.066406,-1.164062,4.519531,-0.958984
839689.0,22.546875,2.355469,7.0625,9.804688,-0.777344,14.175781,-2.146484,4.990234,-0.919922
839714.0,-0.015625,-13.121094,4.304688,2.839844,-5.976562,12.304688,-1.507812,4.310547,-0.705078
839728.0,-6.566406,-11.742188,-2.476562,-17.839844,-7.660156,2.222656,-0.730469,2.484375,-0.164062
839744.0,-1.011719,-6.148438,-9.605469,-13.632812,-3.5625,2.832031,1.914062,-0.705078,-0.003906
839767.0,4.425781,8.90625,1.585938,-5.175781,10.835938,3.28125,1.333984,-1.375,0.177734
839783.0,2.050781,6.609375,0.320312,-5.582031,10.398438,2.277344,-2.585938,-0.693359,0.082031
839807.0,-0.59375,-3.390625,-2.207031,-10.140625,-1.601562,-0.027344,-2.914062,-0.910156,-0.216797
839824.0,-0.628906,-6.296875,-2.628906,-9.941406,-3.746094,-0.667969,-0.085938,-0.625,-0.390625
839838.0,-1.050781,-5.570312,-2.550781,-11.53125,-2.253906,0.988281,1.580078,-0.578125,-0.416016
839863.0,-1.167969,1.09375,0.589844,-11.816406,1.84375,2.734375,3.328125,-0.357422,-0.414062
839883.0,1.554688,2.734375,1.625,-8.667969,4.082031,3.609375,2.25,-0.087891,-0.201172
839905.0,1.820312,2.628906,1.699219,-7.65625,4.445312,4.042969,0.625,0.013672,0.013672
839924.0,0.558594,1.128906,1.972656,-8.558594,3.402344,3.898438,-0.257812,-0.089844,0.052734
839956.0,-0.136719,0.058594,-0.101562,-9.539062,1.894531,2.296875,-0.615234,-0.255859,0.121094
839987.0,0.25,-1.441406,-0.445312,-9.078125,0.375,2.132812,-0.742188,-0.587891,0.126953
840004.0,-0.246094,-1.628906,-4.472656,-9.191406,-0.082031,2.316406,0.367188,-1.171875,0.1875
840027.0,-3.386719,-2.242188,-18.488281,-12.457031,-0.28125,-15.394531,0.423828,-1.912109,0.583984
840043.0,32.082031,-7.640625,-6.078125,-6.074219,-3.3125,8.664062,-3.425781,-5.771484,2.121094
840056.0,47.332031,-8.789062,0.472656,38.902344,-6.671875,4.878906,-2.355469,-2.869141,0.384766
840083.0,35.148438,-14.308594,-27.414062,15.277344,-20.277344,6.511719,2.453125,-2.958984,0.474609
840107.0,22.167969,1.898438,-18.410156,14.46875,4.351562,-13.003906,0.570312,-2.568359,-0.648438
840123.0,5.996094,0.824219,-25.648438,5.097656,2.089844,-19.167969,0.429688,-0.888672,-0.806641
840147.0,0.175781,3.925781,-22.96875,-7.386719,6.214844,-17.289062,-0.724609,0.677734,-0.080078
840163.0,9.097656,-2.203125,-19.59375,-5.34375,2.347656,-17.351562,-0.595703,1.701172,0.580078
840178.0,27.183594,-9.328125,-19.753906,25.859375,-10.273438,-15.050781,0.0625,2.199219,0.642578
840233.0,24.082031,1.476562,6.832031,17.800781,3.351562,1.378906,-1.542969,4.232422,-1.064453
840257.0,8.21875,-7.335938,7.292969,-0.953125,-5.429688,10.324219,-1.238281,4.619141,-0.871094
840273.0,-4.230469,-9.058594,-0.675781,-6.558594,-6.226562,8.230469,-1.21875,3.414062,-0.427734
840297.0,-0.210938,-5.113281,-1.9375,-9.75,-3.417969,0.046875,-1.185547,1.746094,0.238281
840314.0,3.699219,-2.316406,-3.734375,-6.996094,-4.3125,-7.117188,0.839844,-1.015625,0.222656
840328.0,4.5,3.085938,0.359375,-6.125,4.574219,1.59375,0.183594,-0.650391,0.34375
840353.0,-1.320312,-0.785156,-1.402344,-9.554688,2.308594,1.082031,-0.310547,-0.398438,-0.171875
840376.0,-2.007812,-0.898438,-1.058594,-11.5,0.882812,1.261719,1.148438,-0.228516,-0.345703
840393.0,-1.746094,0.902344,-0.023438,-11.308594,1.847656,1.753906,2.267578,0.027344,-0.226562
840409.0,-1.46875,1.320312,0.703125,-10.542969,3.320312,3.199219,2.341797,0.138672,-0.183594
840433.0,1.285156,2.28125,1.46875,-9.066406,3.957031,3.511719,1.474609,0.228516,-0.007812
840453.0,1.859375,2.203125,1.316406,-7.335938,4.324219,3.601562,0.126953,0.335938,0.130859
840473.0,1.207031,1.628906,0.589844,-7.640625,4.195312,3.285156,-0.876953,0.447266,0.216797
840493.0,0.402344,1.398438,0.703125,-8.78125,3.628906,2.894531,-1.003906,0.564453,0.181641
840513.0,0.289062,1.058594,0.207031,-9.089844,3.398438,2.554688,-0.873047,0.373047,0.201172
840543.0,0.632812,-0.554688,1.3125,-8.933594,2.066406,3.414062,-0.830078,-0.267578,0.320312
840567.0,-1.28125,-2.394531,-6.6875,-10.648438,-0.339844,-4.734375,-0.505859,-0.935547,0.462891
840583.0,-6.148438,-7.183594,-19.0625,-12.960938,-3.433594,-11.941406,-1.175781,-3.908203,1.46875
840597.0,-4.730469,-5.878906,-1.824219,5.035156,-6.695312,1.800781,-3.054688,-6.419922,2.087891
840636.0,37.789062,-24.496094,1.96875,29.496094,-22.027344,6.351562,2.914062,-4.335938,0.976562
840652.0,39.785156,9.328125,-3.316406,49.320312,-8.515625,-8.285156,1.785156,-2.998047,-0.427734
840676.0,4.695312,0.324219,-29.023438,-3.054688,3.066406,-23.851562,0.583984,-2.556641,-0.666016
840693.0,-3.542969,-0.898438,-25.226562,-8.363281,9.15625,-15.773438,-1.185547,0.285156,-0.451172
840715.0,16.835938,-3.3125,-19.675781,9.023438,-0.78125,-14.441406,-0.222656,0.865234,0.228516
840746.0,19.558594,-6.109375,-20.824219,11.386719,-3.421875,-16.183594,1.267578,3.539062,-1.099609
840763.0,28.789062,-2.816406,-13.851562,20.914062,-2.105469,-14.179688,1.304688,3.466797,-0.640625
840786.0,26.796875,2.242188,4.648438,17.976562,4.84375,8.117188,0.271484,4.083984,-0.804688
840805.0,23.964844,-1.320312,5.761719,14.921875,1.125,8.832031,-2.066406,5.488281,-0.925781
840832.0,-7.101562,-4.347656,-1.402344,-10.046875,-2.988281,8.789062,-1.720703,3.794922,-0.103516
840850.0,-7.867188,-5.226562,4.0,-16.722656,-2.316406,-0.050781,-1.943359,2.021484,0.615234
840865.0,-4.84375,-6.496094,-2.207031,-10.769531,-6.128906,-4.59375,-1.669922,0.515625,0.443359
840882.0,3.964844,1.972656,-0.0625,-7.542969,-0.167969,0.628906,-0.414062,-1.453125,0.0625
840906.0,0.402344,0.363281,-2.320312,-9.246094,2.433594,-0.722656,-0.925781,-1.091797,-0.320312
840923.0,-1.359375,-0.898438,-2.902344,-11.152344,1.660156,-1.308594,0.195312,-1.267578,-0.394531
840937.0,-0.785156,-0.976562,-2.402344,-10.09375,1.445312,-0.09375,0.943359,-1.066406,-0.410156
840977.0,-0.246094,2.089844,1.316406,-9.839844,4.058594,3.410156,1.865234,-0.34375,-0.275391
840992.0,0.941406,2.355469,1.777344,-9.265625,4.179688,3.824219,1.320312,-0.025391,-0.230469
841010.0,1.972656,2.207031,1.929688,-8.652344,4.339844,3.839844,1.017578,0.154297,-0.236328
841032.0,1.476562,2.316406,1.355469,-7.671875,4.210938,3.492188,-0.019531,0.570312,-0.083984
841056.0,0.480469,2.128906,1.46875,-9.144531,4.054688,3.257812,-0.359375,0.560547,-0.007812
841073.0,0.019531,1.4375,1.355469,-9.449219,3.664062,2.960938,-1.126953,0.234375,0.085938
841095.0,0.175781,-0.210938,2.078125,-9.433594,1.648438,3.847656,-1.03125,-0.082031,0.013672
841113.0,0.519531,-1.167969,1.855469,-9.152344,1.058594,3.6875,-0.679688,-0.339844,-0.068359
841127.0,0.058594,-1.246094,1.355469,-10.757812,0.707031,-0.707031,-0.623047,-0.517578,0.027344
841153.0,-12.542969,-6.109375,-9.484375,-17.140625,-4.28125,-20.023438,-2.166016,-5.054688,0.875
841167.0,0.976562,-8.714844,-5.65625,28.917969,-18.738281,-13.148438,-3.005859,-7.316406,1.285156
841182.0,18.484375,-21.246094,9.554688,46.316406,-18.222656,3.433594,3.628906,-1.871094,-0.677734
841206.0,75.527344,5.191406,-6.882812,67.039062,7.425781,-2.476562,2.875,-4.691406,1.646484
841224.0,57.332031,15.535156,6.792969,49.054688,17.925781,11.503906,0.15625,-3.769531,-1.060547
841252.0,5.078125,-3.582031,-31.78125,0.429688,0.445312,-8.921875,-0.759766,-0.712891,-0.148438
841282.0,-15.296875,5.421875,-12.550781,-24.90625,10.472656,-16.082031,-0.748047,0.708984,0.025391
841302.0,-3.003906,-2.125,-13.277344,-15.992188,4.28125,-7.730469,-0.691406,0.960938,0.523438
841317.0,1.972656,-5.074219,-9.984375,5.851562,-6.054688,-2.808594,-0.390625,0.75,0.6875
841332.0,26.875,-9.367188,-3.816406,24.304688,-13.054688,-2.273438,1.617188,1.455078,0.148438
841356.0,18.105469,-0.667969,-1.480469,9.929688,1.667969,3.582031,1.529297,1.128906,-0.222656
841372.0,12.777344,-1.550781,-2.015625,8.226562,1.511719,3.574219,0.058594,1.302734,-0.578125
841394.0,5.882812,-2.699219,-5.65625,-2.578125,-0.480469,-0.976562,0.056641,1.304688,-0.574219
841436.0,0.863281,-0.9375,-6.613281,-7.894531,1.171875,-2.410156,0.855469,1.224609,-0.376953
841452.0,2.625,0.324219,-5.15625,-7.382812,1.640625,-1.660156,0.705078,1.246094,-0.068359
841475.0,6.53125,0.671875,-2.972656,-2.453125,2.84375,0.738281,0.039062,1.361328,0.119141
841492.0,8.40625,-0.824219,-2.246094,-1.503906,2.34375,0.925781,-0.552734,1.357422,0.056641
841507.0,8.683594,-2.277344,-2.015625,-0.675781,-1.273438,1.289062,-0.484375,1.294922,-0.037109
